feature,OR
Sex_Male,1.128252444579923
TRT,1.032122541344088
TST,0.9168924529053714
N1,1.1829686121207463
N1%,1.203839949946215
N2,0.9813925893473746
N2%,0.9934296271846238
N3,0.8136860577263909
N3%,0.8311174734749459
REM,0.8071132225835024
REM%,0.8518203786587079
W,1.1716753473260335
SOL,1.029229563088552
REML,1.2672601370337768
SEI,0.9019817084019531
WASO,1.0347379928626312
AHI,1.0405521192132223
NA,1.1007897828219408
NSS,1.074305280870534
SFI,1.0206317739177668
W_mean_gradient_F3M2,1.0553598406846132
W_mean_gradient_F4M1,1.0049485326382104
W_mean_gradient_C3M2,0.9288767407823804
W_mean_gradient_C4M1,0.8865200009120818
W_mean_gradient_O1M2,0.703968137769891
W_mean_gradient_O2M1,0.7132821682230289
W_kurtosis_F3M2,0.8524535608967407
W_kurtosis_F4M1,0.8094241380508974
W_kurtosis_C3M2,0.7710068170162044
W_kurtosis_C4M1,0.740159406556146
W_kurtosis_O1M2,0.8716243983815871
W_kurtosis_O2M1,0.8050057141013949
W_delta_bandpower_max_F,1.0235414746853821
W_delta_bandpower_max_C,0.9759876816510407
W_delta_bandpower_max_O,0.9924073696028439
W_theta_bandpower_max_F,1.3457292436126493
W_theta_bandpower_max_C,1.303108858895555
W_theta_bandpower_max_O,1.2662106565678224
W_alpha_bandpower_max_F,0.8054292340785852
W_alpha_bandpower_max_C,0.7579688823693873
W_alpha_bandpower_max_O,0.593522689627275
W_delta_bandpower_min_F,1.1014095619356865
W_delta_bandpower_min_C,1.0732668878417313
W_delta_bandpower_min_O,1.059488061959038
W_theta_bandpower_min_F,1.3880233663247576
W_theta_bandpower_min_C,1.3116848646376167
W_theta_bandpower_min_O,1.2837319619106193
W_alpha_bandpower_min_F,0.9542449907958916
W_alpha_bandpower_min_C,0.9372305208683739
W_alpha_bandpower_min_O,0.7852707598268878
W_delta_bandpower_mean_F,1.0577246668069245
W_delta_bandpower_mean_C,1.001304300897443
W_delta_bandpower_mean_O,0.9834336488954926
W_theta_bandpower_mean_F,1.4036347814264916
W_theta_bandpower_mean_C,1.3580420361641132
W_theta_bandpower_mean_O,1.3177002443086803
W_alpha_bandpower_mean_F,0.8473180359137141
W_alpha_bandpower_mean_C,0.8071958608113695
W_alpha_bandpower_mean_O,0.6322951726301965
W_delta_bandpower_std_F,0.9483838129625678
W_delta_bandpower_std_C,0.9114958580568195
W_delta_bandpower_std_O,0.934253655698461
W_theta_bandpower_std_F,1.2245135824844442
W_theta_bandpower_std_C,1.1727990266746324
W_theta_bandpower_std_O,1.133835896469838
W_alpha_bandpower_std_F,0.8040347865955283
W_alpha_bandpower_std_C,0.7379804636685248
W_alpha_bandpower_std_O,0.5511729236001436
W_delta_bandpower_kurtosis_F,0.8022528937075816
W_delta_bandpower_kurtosis_C,0.8950503747461257
W_delta_bandpower_kurtosis_O,1.043955643289718
W_theta_bandpower_kurtosis_F,0.547555391413493
W_theta_bandpower_kurtosis_C,0.5331907443918297
W_theta_bandpower_kurtosis_O,0.5735832461995112
W_alpha_bandpower_kurtosis_F,1.0875829078251946
W_alpha_bandpower_kurtosis_C,1.0689337692139478
W_alpha_bandpower_kurtosis_O,1.10906533969951
W_sigma_bandpower_kurtosis_F,0.7441293367993506
W_sigma_bandpower_kurtosis_C,0.7038893005842939
W_sigma_bandpower_kurtosis_O,0.6588637679897652
W_delta/theta_max_F,0.988207336654219
W_delta/theta_max_C,0.9478177871348599
W_delta/theta_max_O,0.9764409614122466
W_delta/theta_min_F,1.1282144581420783
W_delta/theta_min_C,1.1037109324153658
W_delta/theta_min_O,1.0809075875988612
W_delta/theta_mean_F,1.028068955209069
W_delta/theta_mean_C,0.977011551021621
W_delta/theta_mean_O,0.9707104828087272
W_delta/theta_std_F,0.9158269842073149
W_delta/theta_std_C,0.8912452158608609
W_delta/theta_std_O,0.9255177427318586
W_delta/alpha_max_F,1.0290332608404777
W_delta/alpha_max_C,0.9881991794916628
W_delta/alpha_max_O,1.0258391885071432
W_delta/alpha_min_F,1.1336457270878433
W_delta/alpha_min_C,1.1105811329703903
W_delta/alpha_min_O,1.1044351303477045
W_delta/alpha_mean_F,1.0654050001038353
W_delta/alpha_mean_C,1.0181293542907073
W_delta/alpha_mean_O,1.0280479302830625
W_delta/alpha_std_F,0.9527275740859662
W_delta/alpha_std_C,0.9238605745539058
W_delta/alpha_std_O,0.9662296489026083
W_theta/alpha_max_F,1.4056512203602445
W_theta/alpha_max_C,1.3755808133112484
W_theta/alpha_max_O,1.3746694855733566
W_theta/alpha_min_F,1.4406413137188754
W_theta/alpha_min_C,1.3822687217602798
W_theta/alpha_min_O,1.3817290405538403
W_theta/alpha_mean_F,1.4652150813982934
W_theta/alpha_mean_C,1.4304000309690084
W_theta/alpha_mean_O,1.4171519142932385
W_theta/alpha_std_F,1.279665171275707
W_theta/alpha_std_C,1.2429315863991461
W_theta/alpha_std_O,1.2393352752599152
N1_mean_gradient_F3M2,1.0977821328994897
N1_mean_gradient_F4M1,0.9836981196571608
N1_mean_gradient_C3M2,0.9712938739483195
N1_mean_gradient_C4M1,0.9230727912698493
N1_mean_gradient_O1M2,0.8168617024925988
N1_mean_gradient_O2M1,0.8176170609096207
N1_kurtosis_F3M2,0.8156030364228619
N1_kurtosis_F4M1,0.7385898241287547
N1_kurtosis_C3M2,0.7524533144158283
N1_kurtosis_C4M1,0.6733294285471454
N1_kurtosis_O1M2,0.8613809037278026
N1_kurtosis_O2M1,0.7690576717219977
N1_delta_bandpower_max_F,1.1669225351086816
N1_delta_bandpower_max_C,1.191031923804161
N1_delta_bandpower_max_O,1.3257957622994843
N1_theta_bandpower_max_F,1.2835282550953573
N1_theta_bandpower_max_C,1.2687527453450294
N1_theta_bandpower_max_O,1.2620940869165764
N1_alpha_bandpower_max_F,0.8603231809462043
N1_alpha_bandpower_max_C,0.7845923008800691
N1_alpha_bandpower_max_O,0.6541879727580966
N1_delta_bandpower_min_F,1.1328791039161927
N1_delta_bandpower_min_C,1.0848832464941247
N1_delta_bandpower_min_O,1.0964802885204168
N1_theta_bandpower_min_F,1.3118148040235749
N1_theta_bandpower_min_C,1.25359541359521
N1_theta_bandpower_min_O,1.2416675197867577
N1_alpha_bandpower_min_F,1.0564485499014233
N1_alpha_bandpower_min_C,1.0422853330963227
N1_alpha_bandpower_min_O,0.9256854143773317
N1_delta_bandpower_mean_F,1.2132739922699187
N1_delta_bandpower_mean_C,1.2003024051123952
N1_delta_bandpower_mean_O,1.284611470863983
N1_theta_bandpower_mean_F,1.3591596748248176
N1_theta_bandpower_mean_C,1.3419727655657274
N1_theta_bandpower_mean_O,1.3162413157669195
N1_alpha_bandpower_mean_F,0.9423315170935354
N1_alpha_bandpower_mean_C,0.8768357725596289
N1_alpha_bandpower_mean_O,0.735488583850793
N1_delta_bandpower_std_F,1.0414340949658085
N1_delta_bandpower_std_C,1.108020800748548
N1_delta_bandpower_std_O,1.2420494925075647
N1_theta_bandpower_std_F,1.182697429024992
N1_theta_bandpower_std_C,1.1589886776694338
N1_theta_bandpower_std_O,1.1610393948736313
N1_alpha_bandpower_std_F,0.8293322504548223
N1_alpha_bandpower_std_C,0.7465713412102287
N1_alpha_bandpower_std_O,0.6239213457738761
N1_delta_bandpower_kurtosis_F,0.9395704839444857
N1_delta_bandpower_kurtosis_C,1.144795958277732
N1_delta_bandpower_kurtosis_O,1.309239839187209
N1_theta_bandpower_kurtosis_F,0.5625959552774483
N1_theta_bandpower_kurtosis_C,0.514226706328621
N1_theta_bandpower_kurtosis_O,0.5838991786742933
N1_alpha_bandpower_kurtosis_F,0.798643983365542
N1_alpha_bandpower_kurtosis_C,0.8015344945955251
N1_alpha_bandpower_kurtosis_O,0.8577149753902401
N1_sigma_bandpower_kurtosis_F,0.7697329584162619
N1_sigma_bandpower_kurtosis_C,0.7698894904166073
N1_sigma_bandpower_kurtosis_O,0.7943370897013705
N1_delta/theta_max_F,1.1540214864277711
N1_delta/theta_max_C,1.1882539460819335
N1_delta/theta_max_O,1.3347070680212267
N1_delta/theta_min_F,1.1757608200925134
N1_delta/theta_min_C,1.1338384542177136
N1_delta/theta_min_O,1.1438170147578917
N1_delta/theta_mean_F,1.2314828035091712
N1_delta/theta_mean_C,1.2290890237849572
N1_delta/theta_mean_O,1.3141395075497997
N1_delta/theta_std_F,1.0365557684276823
N1_delta/theta_std_C,1.1148827777452932
N1_delta/theta_std_O,1.2520259025557934
N1_delta/alpha_max_F,1.1802145990176518
N1_delta/alpha_max_C,1.2148809653822235
N1_delta/alpha_max_O,1.363281551397584
N1_delta/alpha_min_F,1.1824968903374435
N1_delta/alpha_min_C,1.140871488293164
N1_delta/alpha_min_O,1.1643585728200645
N1_delta/alpha_mean_F,1.2439805139268594
N1_delta/alpha_mean_C,1.2448121516314494
N1_delta/alpha_mean_O,1.3431374382941823
N1_delta/alpha_std_F,1.0544500940022798
N1_delta/alpha_std_C,1.1301610779876787
N1_delta/alpha_std_O,1.2761810052987121
N1_theta/alpha_max_F,1.324746980094395
N1_theta/alpha_max_C,1.3230019377528286
N1_theta/alpha_max_O,1.3327902516969423
N1_theta/alpha_min_F,1.3585082902208203
N1_theta/alpha_min_C,1.3225451908324657
N1_theta/alpha_min_O,1.3135304432237933
N1_theta/alpha_mean_F,1.4056593846630017
N1_theta/alpha_mean_C,1.3968959069707254
N1_theta/alpha_mean_O,1.386133298675101
N1_theta/alpha_std_F,1.2188956536882838
N1_theta/alpha_std_C,1.211446158335773
N1_theta/alpha_std_O,1.2290763654354502
N2_mean_gradient_F3M2,0.6521625484693729
N2_mean_gradient_F4M1,0.4833826785929914
N2_mean_gradient_C3M2,0.5087067691643604
N2_mean_gradient_C4M1,0.4735282926901717
N2_mean_gradient_O1M2,0.46693240666115227
N2_mean_gradient_O2M1,0.4785838055047776
N2_kurtosis_F3M2,0.4857845636744934
N2_kurtosis_F4M1,0.5196319953746814
N2_kurtosis_C3M2,0.448106797437586
N2_kurtosis_C4M1,0.44652801199919406
N2_kurtosis_O1M2,0.6469535491623335
N2_kurtosis_O2M1,0.5733820386288943
N2_delta_bandpower_max_F,0.44126409788600773
N2_delta_bandpower_max_C,0.469922910108606
N2_delta_bandpower_max_O,0.8297054320042251
N2_theta_bandpower_max_F,0.7069022054200373
N2_theta_bandpower_max_C,0.6592976573644163
N2_theta_bandpower_max_O,0.7191003164670575
N2_alpha_bandpower_max_F,0.5509721619487364
N2_alpha_bandpower_max_C,0.48817206808335734
N2_alpha_bandpower_max_O,0.48735801992520245
N2_delta_bandpower_min_F,0.8458596080772176
N2_delta_bandpower_min_C,0.8294313702203799
N2_delta_bandpower_min_O,0.8578860616562648
N2_theta_bandpower_min_F,0.9959104414085646
N2_theta_bandpower_min_C,0.9831460700815208
N2_theta_bandpower_min_O,0.8454659647083445
N2_alpha_bandpower_min_F,0.6759737483151036
N2_alpha_bandpower_min_C,0.6087399286689615
N2_alpha_bandpower_min_O,0.5050846314961719
N2_delta_bandpower_mean_F,0.49945111936486725
N2_delta_bandpower_mean_C,0.5525744906865983
N2_delta_bandpower_mean_O,0.9026592847011338
N2_theta_bandpower_mean_F,0.870397344415433
N2_theta_bandpower_mean_C,0.8289167838877541
N2_theta_bandpower_mean_O,0.7929948479654345
N2_alpha_bandpower_mean_F,0.596295015122948
N2_alpha_bandpower_mean_C,0.5257127052490566
N2_alpha_bandpower_mean_O,0.4892942623103769
N2_delta_bandpower_std_F,0.35227851986768705
N2_delta_bandpower_std_C,0.407900261050339
N2_delta_bandpower_std_O,0.8499525803586848
N2_theta_bandpower_std_F,0.6156735487659839
N2_theta_bandpower_std_C,0.5536700660013403
N2_theta_bandpower_std_O,0.6649083701389631
N2_alpha_bandpower_std_F,0.5354993417015337
N2_alpha_bandpower_std_C,0.46746393118857577
N2_alpha_bandpower_std_O,0.4901893335319405
N2_delta_bandpower_kurtosis_F,0.5053652265309895
N2_delta_bandpower_kurtosis_C,0.5844615881110689
N2_delta_bandpower_kurtosis_O,0.8653404611967755
N2_theta_bandpower_kurtosis_F,0.5012140604725085
N2_theta_bandpower_kurtosis_C,0.4534058793893672
N2_theta_bandpower_kurtosis_O,0.6533219310266337
N2_alpha_bandpower_kurtosis_F,0.6844393553047777
N2_alpha_bandpower_kurtosis_C,0.7000247451174888
N2_alpha_bandpower_kurtosis_O,0.9051428796754871
N2_sigma_bandpower_kurtosis_F,0.601044335178789
N2_sigma_bandpower_kurtosis_C,0.5859427134276118
N2_sigma_bandpower_kurtosis_O,0.629072498898945
N2_delta/theta_max_F,0.45585538644829376
N2_delta/theta_max_C,0.49918848768346435
N2_delta/theta_max_O,0.8890634239106351
N2_delta/theta_min_F,0.8525777080376009
N2_delta/theta_min_C,0.8441661283792157
N2_delta/theta_min_O,0.8827299640916627
N2_delta/theta_mean_F,0.5301811955203058
N2_delta/theta_mean_C,0.6008936327558031
N2_delta/theta_mean_O,0.9533328613184746
N2_delta/theta_std_F,0.3736335269645008
N2_delta/theta_std_C,0.45020518973089174
N2_delta/theta_std_O,0.9109231540393739
N2_delta/alpha_max_F,0.45851575068303624
N2_delta/alpha_max_C,0.5033304562428039
N2_delta/alpha_max_O,0.8821424520271466
N2_delta/alpha_min_F,0.8753603510029304
N2_delta/alpha_min_C,0.872494389167226
N2_delta/alpha_min_O,0.900713125914001
N2_delta/alpha_mean_F,0.5320814489051718
N2_delta/alpha_mean_C,0.6089162812509944
N2_delta/alpha_mean_O,0.9567783014375094
N2_delta/alpha_std_F,0.37227004558480337
N2_delta/alpha_std_C,0.44441950101115685
N2_delta/alpha_std_O,0.894501343036415
N2_theta/alpha_max_F,0.7494407989188673
N2_theta/alpha_max_C,0.7145771536553571
N2_theta/alpha_max_O,0.763982911543733
N2_theta/alpha_min_F,1.0141611186676465
N2_theta/alpha_min_C,1.005701781672528
N2_theta/alpha_min_O,0.8765074742032695
N2_theta/alpha_mean_F,0.9142814938456999
N2_theta/alpha_mean_C,0.8863282116432892
N2_theta/alpha_mean_O,0.8346831186064841
N2_theta/alpha_std_F,0.6630941096791687
N2_theta/alpha_std_C,0.6250949272321028
N2_theta/alpha_std_O,0.7322926664987524
N3_mean_gradient_F3M2,0.46295982820644066
N3_mean_gradient_F4M1,0.38231260059346983
N3_mean_gradient_C3M2,0.3805660636607386
N3_mean_gradient_C4M1,0.39773834299203964
N3_mean_gradient_O1M2,0.4090277827033104
N3_mean_gradient_O2M1,0.40369934056655943
N3_kurtosis_F3M2,0.5525100311416125
N3_kurtosis_F4M1,0.5318893862815117
N3_kurtosis_C3M2,0.5040799706764404
N3_kurtosis_C4M1,0.4636390832812129
N3_kurtosis_O1M2,0.6975694751485535
N3_kurtosis_O2M1,0.5921473499236026
N3_delta_bandpower_max_F,0.38299623302469815
N3_delta_bandpower_max_C,0.37112029827263715
N3_delta_bandpower_max_O,0.41574841379948313
N3_theta_bandpower_max_F,0.5038621353993592
